No,Nama_Makanan,Jenis_Makanan,Harga_per_Porsi_Ribu_Rp,Rating,Daerah_Asal,ImageUrl,Ingredients,Instructions
1,Rawon,Non-Vegetarian,33,3.5,Jawa,https://upload.wikimedia.org/wikipedia/commons/7/7e/Rawon_Setan.jpg,Bahan rawon;500 gram daging sapi sandung lamur;5 lembar daun jeruk;2 batang serai;1 sdm air asam jawa;Garam;gula pasir;kaldu bubuk rasa sapi;3 liter air;5 siung bawang putih;10 siung bawang merah;5 buah keluak;4 butir kemiri;1 cm kunyit;50 ml minyak goreng;Taoge pendek;Nasi;Daun bawang;Telur asin;Jeruk nipis;Sambal;Emping,"Rebus daging sapi sandung lamur hingga empuk;Haluskan bumbu halus;Tumis bumbu halus dengan sedikit minyak hingga harum dan matang;Masukkan serai, daun jeruk;Tambahkan bumbu tumis ke dalam rebusan daging;Aduk rata;Masak hingga bumbu meresap dan daging semakin empuk;Tambahkan garam, gula pasir, dan kaldu bubuk secukupnya;Koreksi rasa;Sajikan rawon dengan nasi hangat dan bahan pelengkap (taoge pendek, daun bawang iris, telur asin, jeruk nipis, sambal, emping)."
2,Daun Ubi Tumbuk,Vegan,36,4.8,Sumatera,https://upload.wikimedia.org/wikipedia/commons/e/ea/Sayur_Daun_Ubi_Tumbuk_Batak_1.JPG,1 ikat pucuk daun ubi segar;1 buah santan instan 65ml;Secukupnya air;Secukupnya minyak goreng;150 gram rimbang segar;3 siung bawang merah;1 siung bawang putih;2 cm jahe;2 cm kunyit;15 buah cabe rawit hijau;3 butir kemiri,"Siapkan bahan-bahannya, siangi daun ubi dari batangnya, siangi bumbu, cuci bersih;Tumbuk dalam lesung secara bertahap, tumbuk bersama semua bumbu-bumbu;Panaskan minyak, tumis daun ubi tumbuk sebentar supaya hilang langunya, lalu masukkan air, biarkan mendidih sambil diaduk rata;Kalau sudah beri santan, garam dan kaldu secukupnya aduk rata;Daun ubi tumbuk siap dihidangkan."
3,Bubur Kampiun,Vegan,33,4.8,Sumatera,https://upload.wikimedia.org/wikipedia/commons/3/3b/Lupis_bubur_kampiun.jpg,"Tepung beras - 75 gram;Santan sedang - 750 ml;Daun pandan, sobek lalu ikat - 2 lembar;Garam - 1/2 sdt;Ketan hitam, rendam 3 jam - 100 gram;Air - 1 liter;Daun pandan, sobek lalu ikat - 2 lembar;Garam - 1/4 sdt;Kayu manis - 3 cm;Gula - 75 gram;Kacang hijau, rendam 3 jam - 150 gram;Daun pandan, sobek lalu ikat - 2 lembar;Santan kental - 250 ml;Jahe, memarkan - 1 ruas;Garam - 1/4 sdt;Gula merah - 200 gram;Air - 1,25 liter;Tepung ketan - 120 gram;Tepung tapioka - 1 sdm;Garam - 1/4 sdt;Air hangat - 100 ml;Gula merah - 150 gram;Daun pandan, sobek lalu ikat - 2 lembar;Air - 500 ml;Pewarna makanan (merah dan hijau) - secukupnya;Pisang kepok - 4 buah;Gula merah - 150 gram;Air - 500 ml;Santan sedang - 100 ml;Daun pandan, sobek lalu ikat - 2 lembar;Garam - 1/4 sdt;Kayu manis - 3 cm","Cara Membuat Bubur Sumsum: Dalam wadah, campur tepung beras dan 250 ml santan. Aduk rata lalu sisihkan;Dalam panci, campur 500 ml sisa santan, daun pandan, dan garam. Rebus hingga mendidih;Masukkan campuran tepung beras ke dalam panci rebusan, sambil terus diaduk agar tidak bergerindil. Masak hingga bubur kental dan meletup letup. Angkat;Sisihkan;Cara Membuat Bubur Ketan Hitam: Rebus ketan dengan air hingga beras ketan pecah dan lembut. Aduk sesekali agar dasar panci tidak mengerak;Masukan kayu manis, daun pandan, gula, dan garam. Masak terus hingga menjadi bubur. Tambahkan air jika perlu dan dirasa ketan belum lembut. Angkat;Sisihkan;Cara Membuat Bubur Kacang Hijau: Dalam panci, rebus kacang hijau dengan 1 liter air hingga kacang merekah dan matang;Sementara itu, rebus gula merah dan 250 ml air hingga gula larut. Angkat dan saring;Tuang rebusan gula ke dalam panci rebusan kacang hijau;Masukkan jahe, daun pandan, dan garam. Aduk dan masak hingga mendidih;Tuang santan kental, didihkan sekali lagi sambil diaduk supaya santan tidak pecah. Angkat;Sisihkan;Cara Membuat Kolak Candil: Dalam wadah, campur tepung ketan, tepung tapioka, dan garam hingga rata;Tuang air hangat sedikit demi sedikit sambil diuleni hingga kalis;Bagi adonan jadi 3 bagian. Beri 1 bagian pewarna hijau, 1 bagian pewarna merah, dan 1 bagian lagi tanpa pewarna. Bentuk bulat-bulat seperti kelereng. Sisihkan;Masak gula jawa, daun pandan, dan air. Biarkan hingga mendidih dan gula larut. Angkat lalu saring. Didihkan kembali hasil saringannya;Masukkan bulatan candil ke dalamnya. Masak dan biarkan hingga mengapung. Angkat;Sisihkan;Cara Membuat Kolak Pisang: Rebus gula jawa dan air. Biarkan hingga mendidih dan gula larut. Angkat lalu saring;Masukan daun pandan dan kayu manis kemudian didihkan kembali;Tuang santan lalu rebus dan didihkan lagi;Terakhir masukkan potongan pisang dan garam. Masak sebentar lalu angkat dan sisihkan;Penyajian: Siapkan wadah saji atau mangkok;Tuang tiap-tiap kolak dan bubur secukupnya;Siap disajikan;Tips: Rendam beras ketan hitam dan kacang hijau semalaman agar keduanya lebih cepat empuk saat direbus."
4,Gado-Gado,Vegetarian,27,3.2,Jawa,https://upload.wikimedia.org/wikipedia/commons/a/a2/Gado_gado.jpg,"Kentang - 2 buah;Wortel - 1 buah;Daun selada - 8 lembar;Timun - 1 buah;Kacang panjang - 100 gram;Toge siangi - 100 gram;Kol - 1 buah;Lontong - 1 buah;Tempe - 1 papan;Tahu - 2 buah;Santan, dari 1/2 butir kelapa - 700 ml;Kacang tanah kulit - 200 gram;Daun jeruk, sobek - 4 lembar;Gula merah, iris halus - 50 gram;Kecap manis - 2 sdm;Gula pasir - 1 sdt;Asam jawa - 1 sdt;Garam - 2 sdt;Minyak untuk menumis - 2 sdm;Cabe merah keriting, rebus sebentar - 8 buah;Bawang putih, goreng sebentar - 4 siung;Terasi bakar - 1/2 sdt;Kencur - 3 cm;Bawang merah goreng - secukupnya;Kerupuk udang - secukupnya;Telur rebus - secukupnya","Membuat sayur-sayuran: Kupas sayuran seperti kentang dan wortel. Cuci bersih semua sayuran;Potong-potong kentang dan wortel dengan bentuk dadu sedang. Iris kasar kol;Potong-potong kacang panjang;Panaskan air secukupnya dalam panci hingga mendidih;Ambil sedikit air mendidih lalu seduh toge. Tiriskan lalu sisihkan;Rebus kentang, wortel, kol, dan kacang panjang dalam air mendidih hingga matang. Angkat dan tiriskan, lalu sisihkan;Potong-potong timun, lalu sisihkan;Iris kasar selada atau biarkan utuh, sesuai selera. Sisihkan;Membuat bahan lainnya: Haluskan 1 siung bawang putih dan garam. Tambahkan sedikit air. Rendam tempe dan tahu ke dalamnya. Goreng dalam minyak panas. Angkat dan tiriskan, lalu potong-potong dengan bentuk dadu sedang. Sisihkan;Potong-potong lontong dengan bentuk dadu sedang. Sisihkan;Membuat saus kacang: Cuci bersih kacang tanah. Goreng dalam minyak panas. Angkat dan tiriskan, lalu biarkan hingga dingin. Giling kacang menggunakan blender hingga halus. Sisihkan;Larutkan asam jawa dengan 3 sdm air panas. Saring dan ambil airnya. Sisihkan;Panaskan minyak, tumis bumbu halus dan daun jeruk hingga harum;Masukkan gilingan kacang tanah, aduk rata;Masukkan santan, gula merah, kecap manis, dan garam. Aduk hingga rata dan masak hingga mendidih;Masukkan air asam jawa, aduk rata;Masak hingga saus mengental dan koreksi rasanya;Angkat dan sisihkan;Penyajian: Tata di piring potongan lontong, kentang, tahu, tempe, dan semua sayuran. Beri telur rebus yang dibelah menjadi 2 bagian;Tuang saus kacang sesuai selera;Taburi dengan bawang merah goreng dan sajikan bersama kerupuk udang;Tips: Jangan terlalu lama merebus sayuran terutama kol dan kacang panjang agar teksturnya masih terasa."
5,Sayur Lodeh,Vegetarian,25,4,Jawa,https://upload.wikimedia.org/wikipedia/commons/1/1a/Sayur_lodeh.JPG,"Nangka muda - 250 gram;Labu siam - 1 buah;Terong ungu - 1 buah;Kacang panjang - 5 helai;Daun melinjo - 1 genggam;Terong hijau - 1 buah;Melijo - 1 genggam;Jagung muda - 1 buah;Wortel - 1 buah;Santan instan - 65 ml;Air - 500 ml;Gula merah - 1 sdt;Kaldu jamur - 1/2 sdt;Garam - 1/2 sdt;Daun salam - 2 lembar;Lengkuas, geprek - 2 cm;Bumbu halus: Bawang merah - 5 siung;Bawang putih - 3 siung;Kemiri - 2 butir;Ketumbar - 1 sdt;Kencur - 1 cm;Cabai rawit - 5 buah;Cabai merah besar - 3 buah;Ebi/terasi - 1/2 sdt","Membuat Sayur Lodeh: Potong semua bahan sayuran sesuai selera. Cuci bersih;Panaskan minyak, tumis bumbu halus hingga harum. Masukkan daun salam dan lengkuas, aduk rata;Masukkan semua sayuran, aduk rata. Tambahkan santan instan dan air, aduk rata;Masak hingga sayuran matang dan empuk;Bumbui dengan gula merah, kaldu jamur, dan garam. Aduk rata;Koreksi rasa, angkat dan sajikan selagi hangat."
6,Sambal Lado Mudo,Vegetarian,34,3.6,Sumatera,https://upload.wikimedia.org/wikipedia/commons/c/c5/Sambal_cobek.JPG,"250 gr cabe hijau besar, potong-potong;50 gr cabe hijau keriting, potong-potong;3 buah tomat hijau;7 butir bawang merah;2 lembar daun jeruk;Secukupnya minyak goreng;Secukupnya garam;Secukupnya penyedap","Rebus cabe, tomat dan bawang sekitar 3 menit dengan sedikit air, lalu dinginkan sebentar;Potong-potong tomatnya, lalu sisihkan;Blender atau uleg cabe dan bawang, halusnya sesuaikan ya mom's;Panaskan secukupnya minyak, lalu masukkan cabe, tomat dan daun jeruk, beri seasoning, masak sekitar 2 menit, koreksi rasa;Angkat dan sajikan lado mudo dengan teman-temannya"
7,Ayam Goreng,Non-Vegetarian,37,3.1,Jawa,https://upload.wikimedia.org/wikipedia/commons/1/1b/Ayam_goreng_in_Jakarta.JPG,Ayam - 650 gram (dipotong 10 bagian);Desaku Marinasi - 1 sachet;Ladaku Merica Bubuk - 1 sachet;Desaku Bawang Putih Bubuk - 1 sachet;Maizena Rose Brand - 2 sendok makan;Air - 2 sendok makan;Bawang Putih Utuh (digeprek sekalian sama kulitnya) - 10 siung,"Campur semua Bahan 1 di dalam kontener plastik, kocok hingga tercampur rata. Diamkan minimal 30 menit atau lebih jika ingin buat frozen. Geprek bawang putih;Goreng ayam selama 8 menit pada minyak yang sudah panas dan menggunakan api kecil, sampai ayam setengah matang;Masukkan Bahan 2. Lanjutkan menggoreng ayam selama 5 menit, sampai ayam matang dan bawang garing. Usahakan semua ayam terendam dalam minyak. Total waktu menggoreng ayam +/- 13 menit. Kalau minyanya kurang banyak ayam harus sering dibolak-balik dan waktu menggoreng akan sedikit lebih lama;Siap disajikan;Tambah nasi panas dan sambal tempong segar makin joss."
8,Pecel,Vegetarian,34,3.5,Jawa,https://upload.wikimedia.org/wikipedia/commons/e/e8/Pecel_Hariadhi.JPG,"Bayam - 200 gram;Kacang panjang - 6 batang;Labu siam - 1 buah;Ketimun - 1 buah;Kecipir - 5 buah;Kol - 200 gram;Kemangi - segenggam;Kacang tanah, goreng hingga matang - 250 gram;Asam jawa, ambil air rendamannya - 1 sdm;Air panas - secukupnya;Gula merah, sisir halus - 50 gram;Cabe merah keriting - 5 buah;Cabe rawit - 5 buah;Bawang merah - 2 siung;Bawang putih - 5 siung;Kencur - 2 ruas jari;Garam - 1 sdt;Daun jeruk, buang tulang daun lalu iris halus - 5 lembar;Irisan telur rebus - secukupnya;Rempeyek kacang / teri / rebon - secukupnya","Siangi, cuci bersih, dan potong-potong sayuran;Panaskan air hingga mendidih. Rebus sebentar masing-masing sayuran, kecuali kemangi. Angkat dan tiriskan. Sisihkan;Haluskan kacang tanah yang telah digoreng;Dalam satu wadah, campur kacang tanah, bumbu halus, dan air asam jawa. Aduk hingga rata;Tambahkan air panas sampai kekentalan yang diinginkan. Koreksi rasanya;Tata sayuran di piring saji. Siram dengan sambal kacang. Beri bahan pelengkap lainnya;Siap disajikan;Tips: Jenis sayuran dapat dimodifikasi sesuai selera;Kacang tanah bisa diganti dengan kacang mete sehingga lebih gurih. Jika sedang membatasi konsumsi minyak, kacang bisa juga dipanggang sebelum dihaluskan."
9,Sayur Bunga Pepaya,Vegetarian,35,3.2,Sulawesi,https://cookpad.com/id/recipe/images/84e9a4f7b1b80763?image_region_id=26,200 gr bunga pepaya rebus;8 siung bawang merah;5 siung bawang putih;10 bj cabe rawit orange;5 bj cabe rawit putih;secukupnya Teri;secukupnya Gula;secukupnya Garam;secukupnya Penyedap jamur,"Daun pepaya yang sudah direbus, di cuci lagi pakai air garam diremas-remas;Bilas dengan air biasa;Rendam teri dengan air panas;Tumis bawang merah, bawang putih, cabe sampai harum;Masukkan teri;Masukkan garam, gula, penyedap secukupnya;Masukkan bunga pepaya;Oseng sampai rata;Koreksi rasa;Sajikan"
10,Sambal Tunjang,Vegan,31,3.5,Sumatera,https://cookpad.com/id/recipe/images/f48bbaf2624c6b0f?image_region_id=26,"500 gr tunjang/koyor, rebus (presto) sampai lunak;2 ruas lengkuas geprek;2 ruas jahe geprek;2-3 lembar daun salam;15-20 Cabe merah;5-10 cabe rawit merah;8 butir bawang merah;3 siung bawang putih;1/2 sdm gula merah;2-3 lembar daun jeruk;1 sdt kaldu jamur bubuk (non msg);1 sdt garam;secukupnya Air;1 papan pete","Goreng sebentar hingga layu cabe dan bawang-bawang.(biar nggak mbledos-mbledos kemana-mana, cabe bisa ditusuk atau disayat sedikit, dan wajan ditutup);Haluskan cabe dan bawang yang sudah digoreng (saya pakai choper, biarkan agak kasar, mau dihaluskan juga boleh);Tumis dengan api kecil, bumbu halus dengan sisa minyak menggoreng tadi, hingga harum dan matang. Masukkan daun jeruk dan gula merah. Aduk hingga merata semuanya;Masukkan kikil yang sudah direbus lunak bersama jahe, lengkuas dan daun salam. Aduk rata. Tambahkan air secukupnya;Tambahkan garam serta kaldu jamur bubuk. Masak hingga bumbu meresap dan air agak menyusut;Sesaat akan diangkat, masukkan pete dan masak hingga pete layu sebentar saja. Tes rasa."
